,PROPERTIES PAGE,property_name,area,address,sell_price,rent_price,bedrooms,living_rooms,years,efficiency_ratio,lat,long
0,1,Forfar,Kln Tong / Beacon Hill ,Flat B| High Floor|  The Forfar| Forfar| Kln Tong / Beacon Hill ,5000,85000,4.0,2.0,9.0,75.0,22.3369319,114.1763367
1,1,King's Park Hill,Homantin/Kingspark ,High Floor|  Apt 70 ( Blk 4 )| King's Park Hill| Homantin/Kingspark ,9800,138000,5.0,2.0,19.0,68.0,22.318507,114.1755339
2,1,34G Braga Circuit,Kadoorie Hill , 34G Braga Circuit| Kadoorie Hill ,3800,56000,3.0,2.0,63.0,,22.3226411,114.1758902
3,1,Beverly Villas,Kln Tong / Beacon Hill ,Flat C| Low Floor|  Block 04| Beverly Villas| Kln Tong / Beacon Hill ,2380,56000,3.0,2.0,38.0,93.0,22.3369319,114.1763367
4,1,One Mayfair,Kln Tong / Beacon Hill , Block 7| One Mayfair| Kln Tong / Beacon Hill ,4200,56000,3.0,1.0,7.0,78.0,22.3369319,114.1763367
5,1,Ultima,Homantin/Kingspark ,Flat B| Middle Floor|  Tower 2| Phase 2| Ultima| Homantin/Kingspark ,9000,56000,4.0,2.0,3.0,,22.318507,114.1755339
6,1,Dunbar Place,Homantin/Kingspark ,Flat B| High Floor|  Dunbar Place| Homantin/Kingspark ,3600,56000,3.0,2.0,5.0,,22.318507,114.1755339
7,1,Park View Court,Western Mid-Levels ,High Floor|  Block B| Park View Court| Western Mid-Levels ,4200,95000,4.0,2.0,45.0,75.0,22.2816223,114.147865
8,1,Ellery Terrace,Homantin/Kingspark ,Flat A| High Floor|  Ellery Terr| Ellery Terrace| Homantin/Kingspark ,2500,50000,3.0,2.0,19.0,78.0,22.318507,114.1755339
9,1,Marple Court,Kln Tong / Beacon Hill ,Flat F|  Marple Court| Kln Tong / Beacon Hill ,1680,38000,2.0,2.0,47.0,80.0,22.3369319,114.1763367
10,1,Padek Palace,Prince Edward Rd ,Flat C| Middle Floor|  Padek Palace| Prince Edward Rd ,4000,50000,4.0,2.0,15.0,,30.2572132,-81.70670799999999
11,1,Padek Palace,Prince Edward Rd ,Flat D| High Floor|  Padek Palace| Prince Edward Rd ,4000,50000,6.0,2.0,15.0,,30.2572132,-81.70670799999999
12,1,Nga Yuen Building,Kln Tong / Beacon Hill ,Low Floor|  Nga Yuen Building| Kln Tong / Beacon Hill ,1850,37000,3.0,2.0,55.0,80.0,22.3369319,114.1763367
13,1,Hampton Place,Olympic Station ,Flat A| High Floor|  Block 1| Hampton Place| Olympic Station ,1100,23000,2.0,2.0,15.0,75.0,34.050229,-118.2911404
14,1,Silver Crest,Kln Tong / Beacon Hill , Silver Crest| Kln Tong / Beacon Hill ,9800,200000,4.0,2.0,38.0,92.0,22.3369319,114.1763367
15,1,One Beacon Hill,Kln Tong / Beacon Hill ,High Floor|  Block 18| Phase 4| One Beacon Hill| Kln Tong / Beacon Hill ,10800,200000,5.0,3.0,15.0,78.0,22.3369319,114.1763367
16,1,3 Julia Avenue,Homantin/Kingspark ,Flat C|  Julia Avenue 3| 3 Julia Avenue| Homantin/Kingspark ,1800,200000,2.0,2.0,3.0,,22.318507,114.1755339
17,1,Padek Palace,Prince Edward Rd ,Flat A| Middle Floor|  Padek Palace| Prince Edward Rd ,1850,35000,3.0,2.0,15.0,75.0,30.2572132,-81.70670799999999
18,2,Paris Garden,Prince Edward Rd ,Middle Floor|  Paris Garden| Prince Edward Rd ,2010,40000,3.0,2.0,26.0,72.0,30.2572132,-81.70670799999999
19,2,Boundary Crest,Kln Tong / Beacon Hill ,High Floor|  Boundary Crest| Kln Tong / Beacon Hill ,860,25000,1.0,2.0,41.0,78.0,22.3369319,114.1763367
20,2,Grandeur Villa,Yau Yat Chuen/Shek Kip Mei ,Low Floor|  Block 3| Grandeur Villa| Yau Yat Chuen/Shek Kip Mei ,2600,48000,3.0,2.0,27.0,72.0,22.3312462,114.1744039
21,2,Dynasty Heights,Yau Yat Chuen/Shek Kip Mei ,Flat B| High Floor|  Tropicana 3 (Block 23)| Dynasty Heights| Yau Yat Chuen/Shek Kip Mei ,3200,65000,3.0,2.0,20.0,77.0,22.3312462,114.1744039
22,2,Edwardian Heights,Homantin/Kingspark ,Flat B| High Floor|  Edwardian Heights ( Phase 2 )| Edwardian Heights| Homantin/Kingspark ,1500,30000,3.0,2.0,46.0,76.0,22.318507,114.1755339
23,2,Le Chateau,Kln Tong / Beacon Hill ,Flat E|  Le Chateau| Kln Tong / Beacon Hill ,2980,30000,4.0,2.0,6.0,80.0,22.3369319,114.1763367
24,2,May Fair Court,Yau Yat Chuen/Shek Kip Mei , May Fair Court| Yau Yat Chuen/Shek Kip Mei ,2360,30000,3.0,2.0,37.0,82.0,22.3312462,114.1744039
25,2,Beverly Villas,Kln Tong / Beacon Hill ,Flat C| Low Floor|  Block 7| Beverly Villas| Kln Tong / Beacon Hill ,2800,30000,3.0,2.0,38.0,93.0,22.3369319,114.1763367
26,2,Homantin Hillside,Hung Hom ,Flat A|  Block 1| Homantin Hillside| Hung Hom ,3800,30000,4.0,,3.0,,22.3055658,114.1887233
27,2,Ultima,Homantin/Kingspark ,Flat C| Middle Floor|  Block 7| Ultima| Homantin/Kingspark ,6900,30000,4.0,2.0,3.0,,22.318507,114.1755339
28,2,The Colonnades,Argyle Street ,Flat B| Low Floor|  The Colonnades| Argyle Street ,1100,30000,2.0,2.0,30.0,83.0,41.9716799,-87.7484664
29,2,Mantin Heights,Homantin/Kingspark ,Flat G|  Block 1| Mantin Heights| Homantin/Kingspark ,1600,30000,2.0,2.0,2.0,,22.318507,114.1755339
30,2,Man Yuen,Homantin/Kingspark ,Low Floor|  Man Yuen| Homantin/Kingspark ,1500,30000,3.0,2.0,51.0,90.0,22.318507,114.1755339
31,2,Fessenden Court,Kln Tong / Beacon Hill ,Flat A|  Fessenden Court| Kln Tong / Beacon Hill ,1900,30000,3.0,2.0,43.0,83.0,22.3369319,114.1763367
